Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,40,1,32,16,3456,0.257645,0.0006398072596958,0.0344105,0.2926953072596959,0.1499815,12.007793790387836,3331.169796738161,146.6540987780981,569.2099546977353,1.0
Llama2-13B,20,40,1,32,16,3584,0.2598165,0.0006398072596958,0.0355105,0.2959668072596959,0.1499815,12.138653790387837,3295.258328536774,147.047739131518,565.9676699960085,1.0
Llama2-13B,20,40,1,32,16,3712,0.264209,0.0006398072596958,0.0366105,0.3014593072596959,0.1499815,12.358353790387836,3236.6770427879696,148.34683229591104,561.4753180092691,1.0
Llama2-13B,20,40,1,32,16,3840,0.2663805,0.0006398072596958,0.0377105,0.3047308072596959,0.1499815,12.489213790387838,3202.7636544091733,148.74047264933102,558.3759796581618,1.0
Llama2-13B,20,40,1,32,16,3968,0.270773,0.0006398072596958,0.0388105,0.3102233072596959,0.1499815,12.708913790387834,3147.3972252650974,150.039565813724,554.1156829289627,1.0
Llama2-13B,20,40,1,32,16,4096,0.2729445,0.0006398072596958,0.0399105,0.3134948072596958,0.1499815,12.839773790387836,3115.3196818735983,150.433206167144,551.1494320902012,1.0
Llama2-70B,32,1,32,32,32,128,0.0378095,0.0245713464355468,0.003287,0.0656678464355468,0.0100555,5.413483214843751,184.7239495003889,1772.5390334801666,586.0098101932605,1.0
Llama2-70B,32,1,32,32,32,256,0.0399045,0.0245713464355468,0.004167,0.0686428464355468,0.0100555,5.651483214843751,176.94469964512626,1775.4480739596336,556.1553439961763,1.0
Llama2-70B,32,1,32,32,32,384,0.0420485,0.0245713464355468,0.0050469999999999,0.0716668464355468,0.0100555,5.89340321484375,169.68124588544936,1778.3582188561911,528.662799759858,1.0
Llama2-70B,32,1,32,32,32,512,0.0441925,0.0245713464355468,0.005927,0.0746908464355468,0.0100555,6.135323214843751,162.9905980471588,1781.2683637527498,503.8378581639275,1.0
Llama2-70B,32,1,32,32,32,640,0.0463215,0.0245713464355468,0.0068069999999999,0.0776998464355468,0.0100555,6.376043214843749,156.83708003608723,1784.178136480157,481.4659867664468,1.0
Llama2-70B,32,1,32,32,32,768,0.0484165,0.0245713464355468,0.0076869999999999,0.0806748464355468,0.0100555,6.614043214843751,151.19344817036003,1787.087176959623,461.383819813396,1.0
Llama2-70B,32,1,32,32,32,896,0.0505605,0.0245713464355468,0.008567,0.0836988464355468,0.0100555,6.855963214843751,145.85842552873007,1789.997321856182,442.5384741686152,1.0
Llama2-70B,32,1,32,32,32,1024,0.0527045,0.0245713464355468,0.0094469999999999,0.0867228464355468,0.0100555,7.097883214843749,140.88707431938406,1792.9074667527402,425.22637221507176,1.0
Llama2-70B,32,1,32,32,32,1152,0.060012,0.0245713464355468,0.010327,0.0949103464355468,0.0100555,7.7528832148437505,128.98427233953294,1804.9693187094545,375.9600827145933,1.0
Llama2-70B,32,1,32,32,32,1280,0.062107,0.0245713464355468,0.011207,0.0978853464355468,0.0100555,7.99088321484375,125.14261228876607,1807.87835918892,363.8636464466405,1.0
Llama2-70B,32,1,32,32,32,1408,0.064251,0.0245713464355468,0.012087,0.1009093464355468,0.0100555,8.23280321484375,121.46531064862565,1810.7885040854787,352.2880002033972,1.0
Llama2-70B,32,1,32,32,32,1536,0.066395,0.0245713464355468,0.012967,0.1039333464355468,0.0100555,8.474723214843749,117.99795399199208,1813.6986489820367,341.45994596393496,1.0
